"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","24.97","25.55","26.39","24.85","12.76M","-3.52%"
"07/18/2024","25.88","27.98","28.38","25.61","16.97M","-7.51%"
"07/17/2024","27.98","28.40","29.79","27.24","23.78M","-1.96%"
"07/16/2024","28.54","27.75","28.83","27.37","25.59M","5.70%"
"07/15/2024","27.00","25.98","27.20","25.65","17.14M","3.65%"
"07/12/2024","26.05","25.76","26.89","25.42","16.24M","1.88%"
"07/11/2024","25.57","25.43","26.02","25.02","13.03M","2.40%"
"07/10/2024","24.97","25.00","26.45","24.90","22.33M","1.50%"
"07/09/2024","24.60","24.60","25.18","24.00","9.52M","0.61%"
"07/08/2024","24.45","24.12","25.14","23.85","11.82M","1.12%"
"07/05/2024","24.18","24.18","25.08","23.82","11.78M","-0.78%"
"07/03/2024","24.37","24.03","24.89","23.65","11.83M","1.63%"
"07/02/2024","23.98","23.24","24.32","23.10","13.70M","2.79%"
"07/01/2024","23.33","23.35","23.78","22.31","30.69M","-5.51%"
"06/28/2024","24.69","25.02","26.17","24.31","20.21M","-1.59%"
"06/27/2024","25.09","24.10","26.69","24.06","34.87M","3.68%"
"06/26/2024","24.20","24.60","25.38","24.04","17.90M","-2.93%"
"06/25/2024","24.93","23.60","24.97","22.55","27.63M","5.41%"
"06/24/2024","23.65","23.26","24.83","23.24","22.16M","-1.17%"
"06/21/2024","23.93","25.24","25.81","23.51","28.00M","-6.49%"
"06/20/2024","25.59","24.25","25.93","23.65","36.03M","3.60%"
"06/18/2024","24.70","24.58","25.97","23.61","38.08M","-2.06%"
"06/17/2024","25.22","28.55","29.18","23.79","90.35M","-12.13%"
"06/14/2024","28.70","29.23","30.66","27.41","82.87M","-1.44%"
"06/13/2024","29.12","26.56","29.58","25.56","107.31M","14.38%"
"06/12/2024","25.46","29.17","33.70","24.83","147.99M","-16.50%"
"06/11/2024","30.49","24.40","30.92","22.79","146.91M","22.80%"
"06/10/2024","24.83","28.97","29.34","23.06","131.57M","-12.01%"
"06/07/2024","28.22","37.69","48.00","26.12","279.05M","-39.38%"
